"Step","Attempt23 - Episode_Termination/base_contact","Attempt23 - Episode_Termination/base_contact__MIN","Attempt23 - Episode_Termination/base_contact__MAX"
"947","0.2083333432674408","0.2083333432674408","0.2083333432674408"
"948","0.2916666865348816","0.2916666865348816","0.2916666865348816"
"949","0.1666666716337204","0.1666666716337204","0.1666666716337204"
"953","0.2916666865348816","0.2916666865348816","0.2916666865348816"
"954","0.125","0.125","0.125"
"955","0.2083333432674408","0.2083333432674408","0.2083333432674408"
"956","0.25","0.25","0.25"
"958","0.1666666716337204","0.1666666716337204","0.1666666716337204"
"959","0.25","0.25","0.25"
"961","0.1666666716337204","0.1666666716337204","0.1666666716337204"
"963","0.2083333432674408","0.2083333432674408","0.2083333432674408"
"965","0.2916666865348816","0.2916666865348816","0.2916666865348816"
"966","0.2916666865348816","0.2916666865348816","0.2916666865348816"
"969","0.25","0.25","0.25"
"974","0.1666666716337204","0.1666666716337204","0.1666666716337204"
"976","0.125","0.125","0.125"
"979","0.2916666865348816","0.2916666865348816","0.2916666865348816"
"980","0.25","0.25","0.25"
"982","0.25","0.25","0.25"
"983","0.2083333432674408","0.2083333432674408","0.2083333432674408"
"987","0.375","0.375","0.375"
"988","0.375","0.375","0.375"
"990","0.4166666865348816","0.4166666865348816","0.4166666865348816"
"995","0.1666666716337204","0.1666666716337204","0.1666666716337204"
"997","0.125","0.125","0.125"
"1000","0.1666666716337204","0.1666666716337204","0.1666666716337204"
"1001","0.125","0.125","0.125"
"1006","0.0416666679084301","0.0416666679084301","0.0416666679084301"
"1007","0.1666666716337204","0.1666666716337204","0.1666666716337204"
"1009","0.0833333358168602","0.0833333358168602","0.0833333358168602"
"1010","0.1666666716337204","0.1666666716337204","0.1666666716337204"
"1014","0.0833333358168602","0.0833333358168602","0.0833333358168602"
"1021","0.1666666716337204","0.1666666716337204","0.1666666716337204"
"1023","0.2083333432674408","0.2083333432674408","0.2083333432674408"
"1024","0.1666666716337204","0.1666666716337204","0.1666666716337204"
"1027","0.25","0.25","0.25"
"1031","0.4166666865348816","0.4166666865348816","0.4166666865348816"
"1034","0.3333333432674408","0.3333333432674408","0.3333333432674408"
"1036","0.1666666716337204","0.1666666716337204","0.1666666716337204"
"1037","0.2083333432674408","0.2083333432674408","0.2083333432674408"
"1038","0.1666666716337204","0.1666666716337204","0.1666666716337204"
"1045","0.2083333432674408","0.2083333432674408","0.2083333432674408"
